,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
52,North West Delhi,Rani Bagh,28.6859821,77.13252446991615,Chunmun Store,28.68997711346211,77.1346271047693,Department Store
53,North West Delhi,Rani Bagh,28.6859821,77.13252446991615,Berco's,28.68870103002682,77.13517159999057,Chinese Restaurant
54,North West Delhi,Rani Bagh,28.6859821,77.13252446991615,Raani Bagh Market,28.68676937880406,77.12982316986646,Department Store
55,North West Delhi,Rani Bagh,28.6859821,77.13252446991615,M2k Pitampura,28.68927666993156,77.1332221474175,Multiplex
56,North West Delhi,Rithala,28.7208064,77.1071813,Mosaic,28.720531559662774,77.11012967123072,Restaurant
57,North West Delhi,Rithala,28.7208064,77.1071813,Crowne Plaza,28.720047258613377,77.11043310491654,Hotel
58,North West Delhi,Rithala,28.7208064,77.1071813,Shoppers Stop,28.719713914615454,77.10968138708341,Clothing Store
59,North West Delhi,Rithala,28.7208064,77.1071813,Rithala Metro Station,28.72077572422933,77.10717916488647,Light Rail Station
60,North West Delhi,Shalimar Bagh,28.71745265,77.15086654617409,GREENWAYS,28.72085099531059,77.14942932128906,Shoe Store
61,North Delhi,Shakti Nagar,28.67979,77.1949142,Shakti Nagar,28.68210305063585,77.19670621602154,Playground
62,North Delhi,Shakti Nagar,28.67979,77.1949142,"KFC, Bunglow Road",28.680783561127345,77.19794713952676,Fried Chicken Joint
63,North Delhi,Shakti Nagar,28.67979,77.1949142,Bridge Music Academy,28.681723,77.198329,Concert Hall
64,North Delhi,Shakti Nagar,28.67979,77.1949142,Costa Coffee,28.68292115576341,77.19853671401378,Café
65,North Delhi,Bara Hindu Rao,28.6595181,77.20501,Hitech Service Centre,28.658119,77.203612,Music Store
66,North Delhi,Bara Hindu Rao,28.6595181,77.20501,Al Naseem Food,28.660903,77.206671,Afghan Restaurant
67,North Delhi,Bara Hindu Rao,28.6595181,77.20501,HDFC Bank ATM,28.66134,77.20669,ATM
68,North Delhi,Bara Hindu Rao,28.6595181,77.20501,Anmol Chicken Corner,28.661401304114374,77.20702626124042,Afghan Restaurant
69,North Delhi,Chandni Chowk,28.6560969,77.2354361,Jalebi Wala | जलेबी वाला,28.656177651209596,77.23352648405536,Dessert Shop
70,North Delhi,Chandni Chowk,28.6560969,77.2354361,Haveli Dharampura,28.65324701401681,77.232309176437,Hotel
71,North Delhi,Chandni Chowk,28.6560969,77.2354361,Red Fort Archaeological Museum | लाल किला पुरातत्व संग्रहालय (Red Fort Archaeological Museum),28.655964042955148,77.23765543361783,Museum
72,North Delhi,Chandni Chowk,28.6560969,77.2354361,Chandni Chowk | चाँदनी चौक (Chandni Chowk),28.656076323925312,77.23073986324933,Market
73,North Delhi,Chandni Chowk,28.6560969,77.2354361,Haldiram's,28.656288944079645,77.23170543090595,Snack Place
74,North Delhi,Chandni Chowk,28.6560969,77.2354361,Kinari Bazaar | किनारी बाजार,28.6548009358371,77.23301890281758,Flea Market
75,North Delhi,Chandni Chowk,28.6560969,77.2354361,Parawthe Wale,28.65603318700734,77.23050001546382,Indian Restaurant
76,North Delhi,Chandni Chowk,28.6560969,77.2354361,Parathe Wali Gali | पराँठे वाली गली,28.65609952896119,77.2304785201278,Market
77,North Delhi,Chandni Chowk,28.6560969,77.2354361,Babu Ram Paranthe Wale,28.655820126621173,77.23044812679291,Indian Restaurant
78,North Delhi,Chandni Chowk,28.6560969,77.2354361,McDonald's,28.656161882924813,77.23420838244962,Fast Food Restaurant
79,North Delhi,Chandni Chowk,28.6560969,77.2354361,Pt. Kanhaiya Lal Durga Prashad Dixit Parawthe Wala,28.656108981032254,77.2304648037729,Indian Restaurant
80,North Delhi,Chandni Chowk,28.6560969,77.2354361,Pt. Gaya Prasad Shiv Charan Paranthewale | पंडित गया प्रसाद शिव चरण परांठे वाले,28.656027192178698,77.23043753835134,Indian Restaurant
81,North Delhi,Chandni Chowk,28.6560969,77.2354361,Natraj | नटराज,28.656357336560394,77.23058723790143,Snack Place
82,North Delhi,Chandni Chowk,28.6560969,77.2354361,Jain Sweitamna Temple,28.655344988432756,77.23090826669397,Historic Site
83,North Delhi,Chawri Bazaar,28.6492649,77.2265153,Chawri Bazaar | चावड़ी बाजार,28.649770989776663,77.22736358642578,Hardware Store
84,North Delhi,Chawri Bazaar,28.6492649,77.2265153,Nai Sarak | नई सड़क,28.65283927807197,77.22870777607294,Paper / Office Supplies Store
85,North Delhi,Chawri Bazaar,28.6492649,77.2265153,Shyam Sweets,28.65053027754531,77.23030274534305,Snack Place
86,North Delhi,Chawri Bazaar,28.6492649,77.2265153,Bade Mian Kheer,28.646999444440123,77.22559782906924,Dessert Shop
87,North Delhi,Chawri Bazaar,28.6492649,77.2265153,Kuremal,28.646897094669523,77.2256988755663,Dessert Shop
88,North Delhi,Chawri Bazaar,28.6492649,77.2265153,Rakesh Gupta,28.646824520087637,77.22910633736561,Indian Restaurant
89,North Delhi,Civil Lines,28.6768508,77.2250299,moets,28.678014772437493,77.2247389303534,Chinese Restaurant
90,North Delhi,Civil Lines,28.6768508,77.2250299,Maidens Hotel,28.67437701477759,77.22645211830836,Hotel
91,North Delhi,Civil Lines,28.6768508,77.2250299,The Embassy,28.676555564617807,77.2249690933671,Indian Restaurant
92,North Delhi,Civil Lines,28.6768508,77.2250299,Coffee Day Express,28.678072133999894,77.22429544425731,Coffee Shop
93,North Delhi,Civil Lines,28.6768508,77.2250299,1 UP,28.676463415350646,77.22515434619861,Italian Restaurant
94,North Delhi,Civil Lines,28.6768508,77.2250299,Best Of Asia Village,28.676904,77.225201,Asian Restaurant
95,North Delhi,Civil Lines,28.6768508,77.2250299,Civil Lines Metro Station,28.677042,77.22492,Light Rail Station
96,North Delhi,Civil Lines,28.6768508,77.2250299,Fast Trax,28.68014665360787,77.22328496338821,Burger Joint
97,North Delhi,Dariba Kalan,28.6546024,77.2333794,Haveli Dharampura,28.65324701401681,77.232309176437,Hotel
98,North Delhi,Dariba Kalan,28.6546024,77.2333794,Jalebi Wala | जलेबी वाला,28.656177651209596,77.23352648405536,Dessert Shop
99,North Delhi,Dariba Kalan,28.6546024,77.2333794,Chandni Chowk | चाँदनी चौक (Chandni Chowk),28.656076323925312,77.23073986324933,Market
100,North Delhi,Dariba Kalan,28.6546024,77.2333794,Haldiram's,28.656288944079645,77.23170543090595,Snack Place
101,North Delhi,Dariba Kalan,28.6546024,77.2333794,Jama Masjid  |जामा मस्जिद | جامع مسجد (Jama Masjid),28.65048654789679,77.23346292972565,Mosque
102,North Delhi,Dariba Kalan,28.6546024,77.2333794,Kinari Bazaar | किनारी बाजार,28.6548009358371,77.23301890281758,Flea Market
103,North Delhi,Dariba Kalan,28.6546024,77.2333794,Parawthe Wale,28.65603318700734,77.23050001546382,Indian Restaurant
104,North Delhi,Dariba Kalan,28.6546024,77.2333794,Parathe Wali Gali | पराँठे वाली गली,28.65609952896119,77.2304785201278,Market
105,North Delhi,Dariba Kalan,28.6546024,77.2333794,Red Fort Archaeological Museum | लाल किला पुरातत्व संग्रहालय (Red Fort Archaeological Museum),28.655964042955148,77.23765543361783,Museum
106,North Delhi,Dariba Kalan,28.6546024,77.2333794,Babu Ram Paranthe Wale,28.655820126621173,77.23044812679291,Indian Restaurant
107,North Delhi,Dariba Kalan,28.6546024,77.2333794,Nai Sarak | नई सड़क,28.65283927807197,77.22870777607294,Paper / Office Supplies Store
108,North Delhi,Dariba Kalan,28.6546024,77.2333794,McDonald's,28.656161882924813,77.23420838244962,Fast Food Restaurant
109,North Delhi,Dariba Kalan,28.6546024,77.2333794,Pt. Kanhaiya Lal Durga Prashad Dixit Parawthe Wala,28.656108981032254,77.2304648037729,Indian Restaurant
110,North Delhi,Dariba Kalan,28.6546024,77.2333794,Pt. Gaya Prasad Shiv Charan Paranthewale | पंडित गया प्रसाद शिव चरण परांठे वाले,28.656027192178698,77.23043753835134,Indian Restaurant
111,North Delhi,Dariba Kalan,28.6546024,77.2333794,Natraj | नटराज,28.656357336560394,77.23058723790143,Snack Place
112,North Delhi,Dariba Kalan,28.6546024,77.2333794,Jain Sweitamna Temple,28.655344988432756,77.23090826669397,Historic Site
113,North Delhi,Gulabi Bagh,28.6516214,77.1139354,Eternity Hotel,28.654049166854715,77.11732758535626,Hotel
114,North Delhi,Gulabi Bagh,28.6516214,77.1139354,D Block Park,28.65080424736482,77.11299540316688,Park
115,North Delhi,Gulabi Bagh,28.6516214,77.1139354,Three Graces- Rajouri Garden,28.649955757994707,77.1161635084792,Spa
116,North Delhi,Gulabi Bagh,28.6516214,77.1139354,Tagore Garden,28.64855095603244,77.11371463492715,Garden
117,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Mad Over Donuts,28.680756979848095,77.20388888228172,Donut Shop
118,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Bille Di Hatti | बिल्ले दी हट्टी,28.681587650228284,77.20171940298643,Breakfast Spot
119,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Starbucks | स्टारबक्स,28.680849982842012,77.20391012907784,Coffee Shop
120,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Gopal Sweets,28.682659955224068,77.19966531984826,Breakfast Spot
121,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Chicago Pizza,28.681589774555057,77.20320224761963,Pizza Place
122,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Chache Di Hatti | चाचे दी हट्टी,28.68222280150934,77.20586403776046,Indian Restaurant
123,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Kamla Nagar Market,28.684488757456002,77.2029447555542,Miscellaneous Shop
124,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,cafe coffee day,28.68219216721737,77.20502614974976,Coffee Shop
125,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Momo's Point,28.681478582954096,77.20706679573026,Chinese Restaurant
126,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Sharma Kachodi Waaley,28.68243182992799,77.19931719382215,Breakfast Spot
127,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,"KFC, Bunglow Road",28.680783561127345,77.19794713952676,Fried Chicken Joint
128,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Ved Dhaba,28.67782434552527,77.20548092093907,Indian Restaurant
129,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Ghanta Ghar Market,28.676372069622218,77.20309037619793,Flea Market
130,North Delhi,Kamla Nagar,28.680344249999997,77.20212920033055,Costa Coffee,28.68292115576341,77.19853671401378,Café
131,North Delhi,Kashmiri Gate,28.6699765,77.2320588,Domino's Pizza,28.668,77.228,Pizza Place
132,North Delhi,Kashmiri Gate,28.6699765,77.2320588,Yamuna,28.671580935691306,77.23223864545793,Lake
133,North Delhi,Kashmiri Gate,28.6699765,77.2320588,ISBT Kashmere Gate,28.668930062658884,77.23083550369039,Bus Station
134,North Delhi,Kashmiri Gate,28.6699765,77.2320588,Tibetan Market,28.672576677638705,77.2310654430255,Flea Market
135,North Delhi,Kashmiri Gate,28.6699765,77.2320588,McDonald's,28.667987929894792,77.22909511030537,American Restaurant
136,North Delhi,Kashmiri Gate,28.6699765,77.2320588,Nirula's Express (Kashmiri Gate Metro Station),28.6679220096324,77.22910633736561,Fast Food Restaurant
137,North Delhi,Kashmiri Gate,28.6699765,77.2320588,Kashmere Gate Metro Station,28.667746149207634,77.22830359986663,Metro Station
138,North Delhi,Lahori Gate,28.65578895,77.23871982406355,Gowri Shankar Temple,28.656224585370325,77.23556172012442,Historic Site
139,North Delhi,Lahori Gate,28.65578895,77.23871982406355,Red Fort | Lal Qila | लाल क़िला | لال قلعہ (Red Fort (Lal Qila)),28.655758930875194,77.2419548034668,Monument / Landmark
140,North Delhi,Lahori Gate,28.65578895,77.23871982406355,Red Fort Archaeological Museum | लाल किला पुरातत्व संग्रहालय (Red Fort Archaeological Museum),28.655964042955148,77.23765543361783,Museum
141,North Delhi,Lahori Gate,28.65578895,77.23871982406355,McDonald's,28.656161882924813,77.23420838244962,Fast Food Restaurant
142,North Delhi,Nehru Vihar,28.7107447,77.22117437672333,Birdy's Bakery & Patisserie,28.710996,77.217677,Bakery
143,North Delhi,Nehru Vihar,28.7107447,77.22117437672333,The Champion Gym,28.71204653311,77.21679522470616,Gym
144,North Delhi,Pratap Nagar,28.6667177,77.1988974,Pratap Nagar Metro Station,28.666660624691875,77.19888925552368,Light Rail Station
145,North Delhi,Pratap Nagar,28.6667177,77.1988974,Delhi Subzi Mandi Railway Station (SZM),28.668121127109586,77.20027173048291,Train Station
146,North Delhi,Pratap Nagar,28.6667177,77.1988974,My Idea Store,28.665278,77.196111,Mobile Phone Shop
147,North Delhi,Pratap Nagar,28.6667177,77.1988974,Delhi Kishan Ganj Railway Station,28.663164067441667,77.19933965359665,Train Station
148,North Delhi,Pul Bangash,28.6663751,77.20752911898111,"Canteen,Delhi University",28.666967089910766,77.2088004547849,Fast Food Restaurant
149,North Delhi,Pul Bangash,28.6663751,77.20752911898111,Pulbangsh metro station,28.66641586680745,77.2074294090271,Metro Station
150,North Delhi,Pul Bangash,28.6663751,77.20752911898111,Aaoji Khaoji,28.66538810967259,77.20955840910752,Indian Restaurant
151,North Delhi,Roshanara Bagh,28.67371835,77.19931977973923,Roshanara Garden | रोशनारा बाग,28.67425432760321,77.19936211336687,Park
152,North Delhi,Roshanara Bagh,28.67371835,77.19931977973923,Amba cinema,28.677325633746147,77.20088375288321,Indie Movie Theater
153,North Delhi,Roshanara Bagh,28.67371835,77.19931977973923,Axis Bank ATM,28.677013,77.201935,ATM
154,North Delhi,Roshanara Bagh,28.67371835,77.19931977973923,Ghanta Ghar Market,28.676372069622218,77.20309037619793,Flea Market
155,North Delhi,Sadar Bazaar,28.6609052,77.2277153,Jolly Creations Designer Boutique,28.662689090022976,77.2262995390695,Boutique
156,North Delhi,Sadar Bazaar,28.6609052,77.2277153,McDonald's,28.661166313684927,77.22759628817572,Fast Food Restaurant
157,North Delhi,Sadar Bazaar,28.6609052,77.2277153,McDonald's,28.66128895525179,77.22716404005617,Fast Food Restaurant
158,North Delhi,Sadar Bazaar,28.6609052,77.2277153,Kashmere Gate,28.663699361958138,77.22967068287404,Historic Site
159,North Delhi,Sadar Bazaar,28.6609052,77.2277153,Comesum,28.660668497816566,77.22781022853489,Restaurant
160,North Delhi,Sadar Bazaar,28.6609052,77.2277153,Old Delhi Railway Station (DLI),28.660579163305297,77.22856521606445,Train Station
161,North Delhi,Sant Nagar,28.64641805,77.09118835556896,Mad Over Donuts,28.6454398758967,77.09256649017334,Donut Shop
162,North Delhi,Sant Nagar,28.64641805,77.09118835556896,Meet Fitness Sant Garh,28.646485,77.08945,Gym / Fitness Center
163,North Delhi,Sant Nagar,28.64641805,77.09118835556896,FASHION MAYA,28.64773727162032,77.09456205368042,Boutique
164,North Delhi,Sant Nagar,28.64641805,77.09118835556896,Cup Cake Radisson Blu,28.646223268191726,77.0869596796507,Bakery
165,North Delhi,Sarai Kale Khan,28.5866263,77.25622817914692,August Kranthi Mumbai Rajdhani,28.587241812139638,77.2555543234804,Moving Target
166,North Delhi,Sarai Kale Khan,28.5866263,77.25622817914692,Comesum - The Food Junction,28.58970528985822,77.253211613099,Food Court
167,North Delhi,Sarai Kale Khan,28.5866263,77.25622817914692,Platform 7,28.58889863046458,77.25439257783188,Platform
168,North Delhi,Sarai Kale Khan,28.5866263,77.25622817914692,Sarai Kale Khan ISBT,28.5887208685453,77.25854562541637,Bus Station
169,North Delhi,Sarai Rohilla,28.66100315,77.20151396783757,Delhi Kishan Ganj Railway Station,28.663164067441667,77.19933965359665,Train Station
170,North Delhi,Shastri Nagar,28.6700885,77.1818589,"Moments mall, kirti nagar",28.670420532801597,77.18183658400649,Shopping Mall
171,North Delhi,Shastri Nagar,28.6700885,77.1818589,Shastri nagar main market,28.670959523884274,77.18058426028664,Flea Market
172,North Delhi,Shastri Nagar,28.6700885,77.1818589,Shastri Nagar | शास्त्री नगर Metro Station,28.67010695812553,77.18190498813311,Light Rail Station
173,North Delhi,Timarpur,28.70126285,77.21867953631201,Tikona Park,28.700101922049164,77.22039381760102,Park
174,North Delhi,Timarpur,28.70126285,77.21867953631201,Kaya Skin Clinic,28.7,77.21667,Cosmetics Shop
175,North Delhi,Timarpur,28.70126285,77.21867953631201,Hidesign,28.7029422,77.221006,Accessories Store
176,North Delhi,Timarpur,28.70126285,77.21867953631201,Kosmic Fitness,28.702794206275087,77.22220953299016,Gym
177,North Delhi,Wazirabad,28.7140117,77.22993962505592,Kashmiri Gate,28.714170383520546,77.22810151124453,Market
178,North Delhi,Wazirabad,28.7140117,77.22993962505592,Axis Bank ATM,28.71194,77.22804,ATM
179,North East Delhi,Babarpur,28.6874305,77.2797551,yamuna vihar,28.68981594464307,77.28387603753107,Park
180,North East Delhi,Dilshad Garden,28.6758257,77.3215163,Domino's Pizza,28.676,77.321,Pizza Place
181,North East Delhi,Dilshad Garden,28.6758257,77.3215163,Dilshad Garden Metro Station,28.67610956412443,77.3214687544753,Light Rail Station
182,North East Delhi,Dilshad Garden,28.6758257,77.3215163,haldiram dilshad garden,28.676155231811137,77.32137900861908,Indian Restaurant
183,North East Delhi,Dilshad Garden,28.6758257,77.3215163,ChintAmani Sweets,28.676386979652246,77.31789008497181,Diner
184,North East Delhi,Kabir Nagar,28.6926703,77.28354434635405,yamuna vihar,28.68981594464307,77.28387603753107,Park
185,North East Delhi,Kabir Nagar,28.6926703,77.28354434635405,Royal Enfield Showroom,28.6897678,77.2844549,Motorcycle Shop
186,North East Delhi,Maujpur,28.6920781,77.2796973,yamuna vihar,28.68981594464307,77.28387603753107,Park
187,North East Delhi,Sadatpur,28.6738866,77.1357541,Domino's Pizza,28.673,77.134,Pizza Place
188,North East Delhi,Sadatpur,28.6738866,77.1357541,Subway,28.670817495742675,77.1340704721884,Sandwich Place
189,North East Delhi,Sadatpur,28.6738866,77.1357541,McDonald's,28.670275679120355,77.13313038564051,Fast Food Restaurant
190,North East Delhi,Sadatpur,28.6738866,77.1357541,KFC,28.670582562075477,77.13273337478073,Fast Food Restaurant
191,North East Delhi,Sadatpur,28.6738866,77.1357541,Breads and more,28.670745377557495,77.13419406867202,Bakery
192,North East Delhi,Sadatpur,28.6738866,77.1357541,"Talab V2.0 Cafe, Bar & Lounge",28.670835562728946,77.1327165205162,Bar
193,North East Delhi,Sadatpur,28.6738866,77.1357541,Gola Bakers,28.670270557728465,77.13343001563389,Bakery
194,North East Delhi,Sadatpur,28.6738866,77.1357541,Gupta Chat Corner,28.670314660143898,77.13268281198002,Breakfast Spot
195,North East Delhi,Shahdara,28.6733333,77.2890248,Dealshop365.com,28.67351362823086,77.2889986926914,Gift Shop
196,North East Delhi,Shahdara,28.6733333,77.2890248,Shahdara Metro Station,28.673344176735423,77.28901147842407,Light Rail Station
197,North East Delhi,Shahdara,28.6733333,77.2890248,Halidrams,28.675918373532753,77.29012643226184,Vegetarian / Vegan Restaurant
198,North East Delhi,Shahdara,28.6733333,77.2890248,Delhi Shahdara Junction railway station,28.672882931205567,77.29251980781555,Platform
199,North East Delhi,Shahdara,28.6733333,77.2890248,New Shahi Food Corner,28.676237,77.29045,Dhaba
200,North East Delhi,Sonia Vihar,28.7199257,77.2481823,Axis Bank ATM,28.7187962,77.2443841,ATM
201,North East Delhi,Sonia Vihar,28.7199257,77.2481823,Axis Bank ATM,28.71558,77.24699,ATM
202,North East Delhi,Shastri Park,28.6684339,77.2505301,Shastri Park Metro Station,28.668430395460778,77.25055932998657,Metro Station
203,Central Delhi,Daryaganj,28.64609,77.243048,Changezi Chicken,28.64375143292846,77.24048581691957,Indian Restaurant
204,Central Delhi,Daryaganj,28.64609,77.243048,Moti Mahal,28.646522533312474,77.24014482739257,Indian Restaurant
205,Central Delhi,Daryaganj,28.64609,77.243048,"Ansari Road, Daryaganj",28.6422581036937,77.24153403785718,Road
206,Central Delhi,Daryaganj,28.64609,77.243048,Prince Paan,28.64654643631263,77.24017008593643,Restaurant
207,Central Delhi,Daryaganj,28.64609,77.243048,Zaika,28.643592,77.240437,Restaurant
208,Central Delhi,Daryaganj,28.64609,77.243048,Tara Palace Daryaganj,28.649744,77.243302,Hotel
209,Central Delhi,Jhandewalan,28.6443188,77.1999165,Jhandewalan | झंडेवालान Metro Station,28.64408401218538,77.19976902008057,Light Rail Station
210,Central Delhi,Jhandewalan,28.6443188,77.1999165,Springdales School,28.64453596870316,77.19646453857422,High School
211,Central Delhi,Jhandewalan,28.6443188,77.1999165,Hotel Walnut Castle,28.64567394902667,77.19585833773795,Hotel
212,Central Delhi,Jhandewalan,28.6443188,77.1999165,Royal Enfield Zone,28.647157605094495,77.19674552149021,Motorcycle Shop
213,Central Delhi,Jhandewalan,28.6443188,77.1999165,Hotel Aster Inn New Delhi,28.647244580750993,77.19659391461063,Hotel
214,Central Delhi,Karol Bagh,28.6529982,77.1890227,Roshan Di Kulfi | रोशन दी क़ुल्फ़ी,28.650427914139385,77.192390835694,Snack Place
215,Central Delhi,Karol Bagh,28.6529982,77.1890227,Raviraj Ki Kulfi,28.649358842223478,77.19021501982319,Dessert Shop
216,Central Delhi,Karol Bagh,28.6529982,77.1890227,Florence Hotel,28.6522,77.191703,Hotel
217,Central Delhi,Karol Bagh,28.6529982,77.1890227,Kodak express,28.657403295354637,77.18851354889483,Camera Store
